tripduration,starttime,stoptime,start_station_id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth_year,gender
520,43:34.3,52:14.4,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,44684,Customer,1970,0
223,48:19.8,52:03.4,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,44452,Customer,1970,0
718,52:27.3,04:25.4,3220,5 Corners Library,40.73496102,-74.05950308,3210,Pershing Field,40.74267714,-74.05178863,46220,Customer,1970,0
733,52:27.8,04:41.5,3640,Journal Square,40.73367,-74.0625,3210,Pershing Field,40.74267714,-74.05178863,40958,Customer,1970,0
324,55:03.7,00:28.4,3203,Hamilton Park,40.72759597,-74.04424731,3199,Newport Pkwy,40.7287448,-74.0321082,40306,Customer,1970,0
739,55:31.3,07:50.9,3268,Lafayette Park,40.71346383,-74.06285852,3185,City Hall,40.7177325,-74.043845,45967,Subscriber,1994,1
556,00:18.6,09:35.5,3194,McGinley Square,40.72533993,-74.06762213,3225,Baldwin at Montgomery,40.7236589,-74.0641943,44385,Customer,1970,0
425,04:09.0,11:14.0,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,29387,Subscriber,1983,2
306,07:35.3,12:41.5,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,31794,Subscriber,1993,2
451,09:24.8,16:56.1,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3202,Newport PATH,40.7272235,-74.0337589,45683,Customer,1970,0
3193,09:25.6,02:39.6,3184,Paulus Hook,40.7141454,-74.0335519,3272,Jersey & 3rd,40.72333159,-74.04595256,48739,Customer,1970,0
254,09:51.9,14:06.7,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,43803,Customer,1970,0
787,10:35.6,23:43.5,3186,Grove St PATH,40.71958612,-74.04311746,3272,Jersey & 3rd,40.72333159,-74.04595256,42585,Customer,1970,0
1148,11:56.4,31:04.9,3267,Morris Canal,40.71241882,-74.03852552,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,44916,Customer,1970,0
480,18:24.1,26:24.4,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,42596,Subscriber,1980,1
687,18:40.5,30:07.6,3187,Warren St,40.7211236,-74.03805095,3269,Brunswick & 6th,40.72601173,-74.05038893,48754,Customer,1970,0
